image,race_scores,obese_scores
129.png,"[9.6058013e-04 1.9798812e-04 1.4466100e-02 2.4506728e-01 7.3737699e-01
 1.1380580e-03 7.9299009e-04]","[0.04039989039301872, 0.9437633156776428, 0.015836775302886963]"
130.png,"[9.2909515e-01 1.4946940e-05 2.6118198e-02 1.5126055e-03 6.1987143e-04
 1.3568482e-03 4.1282449e-02]","[0.0010106363333761692, 0.0008737957687117159, 0.9981155395507812]"
131.png,"[3.4193251e-01 6.7705572e-05 1.4220127e-02 2.3717424e-03 2.7504871e-03
 7.0578177e-03 6.3159961e-01]","[0.017607958987355232, 0.9583513140678406, 0.024040788412094116]"
132.png,"[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]","[0.9999265670776367, 7.229140464914963e-05, 1.1643437574093696e-06]"
133.png,"[4.3589851e-01 8.1893404e-06 9.7229458e-02 2.1103709e-03 1.0060642e-03
 4.1561428e-02 4.2218596e-01]","[0.0002779889910016209, 0.6855700016021729, 0.3141520321369171]"
134.png,"[1.4011523e-05 9.8651534e-01 3.9985697e-04 1.7208233e-05 7.3452195e-04
 1.2317401e-02 1.6559618e-06]","[0.9999895095825195, 5.264590541287362e-09, 1.0504849342396483e-05]"
135.png,"[0.03037869 0.01553043 0.09793952 0.5936997  0.24660045 0.00732944
 0.00852183]","[0.8508323431015015, 0.09498085826635361, 0.054186783730983734]"
136.png,"[9.8108518e-01 8.6728414e-06 1.4656454e-03 4.1363678e-06 6.7759779e-06
 3.6101430e-06 1.7425980e-02]","[0.821760356426239, 0.16957087814807892, 0.00866873562335968]"
137.png,"[0.19681896 0.0336518  0.49270174 0.00621588 0.01809795 0.02163405
 0.23087958]","[0.151113361120224, 0.2372950315475464, 0.611591637134552]"
138.png,"[0.02101395 0.14380588 0.6931306  0.01794526 0.0568495  0.04277588
 0.02447901]","[0.9999505281448364, 4.564025948639028e-05, 3.817452579824021e-06]"
139.png,"[8.9404637e-01 2.3866482e-05 7.3509621e-03 4.1717887e-02 3.6658866e-03
 5.4305408e-05 5.3140856e-02]","[0.31590351462364197, 0.004830517340451479, 0.6792659759521484]"
140.png,"[0.19681896 0.0336518  0.49270174 0.00621588 0.01809795 0.02163405
 0.23087958]","[0.151113361120224, 0.2372950315475464, 0.611591637134552]"
141.png,"[8.9117733e-04 3.3344290e-06 1.7301334e-03 9.5572656e-01 4.1103501e-02
 3.1812643e-04 2.2722677e-04]","[0.6947320699691772, 0.29372620582580566, 0.011541631072759628]"
